Subzone,Planning_area
Ang Mo Kio Town Centre,Ang Mo Kio
Cheng San,Ang Mo Kio
Chong Boon,Ang Mo Kio
Kebun Bahru,Ang Mo Kio
Sembawang Hills,Ang Mo Kio
Shangri-La,Ang Mo Kio
Tagore (Sindo),Ang Mo Kio
Townsville,Ang Mo Kio
Yio Chu Kang,Ang Mo Kio
Yio Chu Kang East,Ang Mo Kio
Yio Chu Kang North (Selatar),Ang Mo Kio
Yio Chu Kang West,Ang Mo Kio
Rocky Hill,Bedok
Bayshore,Bedok
Bedok North,Bedok
Bedok Reservoir,Bedok
Bedok South,Bedok
Frankel,Bedok
Kaki Bukit,Bedok
Kembangan,Bedok
Siglap,Bedok
Bishan East,Bishan
Marymount,Bishan
Upper Thomson,Bishan
Liu Fang,Boon Lay
Samulun,Boon Lay
Shipyard,Boon Lay
Tukang,Boon Lay
Brickworks,Bukit Batok
Bukit Batok Central,Bukit Batok
Bukit Batok East,Bukit Batok
Bukit Batok South,Bukit Batok
Bukit Batok West,Bukit Batok
Gombak,Bukit Batok
Guilin,Bukit Batok
Hillview,Bukit Batok
Hong Kah North,Bukit Batok
Alexandra,Bukit Merah
Alexandra Hill,Bukit Merah
Alexandra North,Bukit Merah
Bukit Ho Swee,Bukit Merah
Bukit Merah,Bukit Merah
City Terminals (Tanjong Pagar),Bukit Merah
Depot Road,Bukit Merah
Everton Park,Bukit Merah
Henderson Hill,Bukit Merah
Kampong Tiong Bahru,Bukit Merah
Maritime Square (HarbourFront),Bukit Merah
Redhill,Bukit Merah
Singapore General Hospital,Bukit Merah
Telok Blangah Drive,Bukit Merah
Telok Blangah Rise,Bukit Merah
Telok Blangah Way,Bukit Merah
Tiong Bahru,Bukit Merah
Tiong Bahru Station,Bukit Merah
Bangkit,Bukit Panjang
Dairy Farm,Bukit Panjang
Fajar,Bukit Panjang
Jelebu,Bukit Panjang
Nature Reserve,Bukit Panjang
Saujana,Bukit Panjang
Senja,Bukit Panjang
Upper Bukit Timah Road,Bukit Timah
Anak Bukit,Bukit Timah
Coronation Road,Bukit Timah
Farrer Court,Bukit Timah
Greenridge,Bukit Timah
Hillcrest,Bukit Timah
Holland Road,Bukit Timah
Leedon Park,Bukit Timah
Swiss Club,Bukit Timah
Kismis Residences,Bukit Timah
Teck Hiang Gardens,Bukit Timah
Toh Yi Gardens,Bukit Timah
Yuk Tong Avenue,Bukit Timah
Ulu Pandan,Bukit Timah
Changi Business Park,Changi
Changi Airport,Changi
Changi Point,Changi
Changi West,Changi
Choa Chu Kang Central,Choa Chu Kang
Choa Chu Kang North (Kranji North & Pang Sua),Choa Chu Kang
Keat Hong,Choa Chu Kang
Peng Siang,Choa Chu Kang
Teck Whye,Choa Chu Kang
Yew Tee,Choa Chu Kang
Clementi Central,Clementi
Clementi North,Clementi
Clementi West,Clementi
Clementi Woods,Clementi
Faber,Clementi
Pandan,Clementi
Sunset Way,Clementi
Toh Tuck,Clementi
West Coast,Clementi
Golden Rise Estate,Clementi
Savoy Park,Clementi
Anson,Downtown Core
Bayfront Subzone,Downtown Core
Bugis,Downtown Core
Cecil,Downtown Core
Central Subzone,Downtown Core
City Hall,Downtown Core
Clifford Pier,Downtown Core
Marina Centre,Downtown Core
Maxwell,Downtown Core
Nicoll (← Crawford),Downtown Core
Phillip,Downtown Core
Raffles Place,Downtown Core
Shenton Way,Downtown Core
Tanjong Pagar,Downtown Core
Aljunied,Geylang
Geylang East,Geylang
Kallang Way,Geylang
Kampong Ubi,Geylang
MacPherson,Geylang
Defu Industrial Park,Hougang
Hougang Central,Hougang
Hougang East,Hougang
Hougang West,Hougang
Kangkar,Hougang
Kovan (Rosyth),Hougang
Lorong Ah Soo,Hougang
Lorong Halus (Sungei Serangoon),Hougang
Tai Seng,Hougang
Trafalgar,Hougang
International Business Park,Jurong East
Jurong Gateway (Regional Centre),Jurong East
Jurong Port,Jurong East
Jurong River,Jurong East
Lakeside (Business),Jurong East
Lakeside (Leisure),Jurong East
Penjuru Crescent,Jurong East
Pandan Gardens,Jurong East
Teban Gardens,Jurong East
Toh Guan,Jurong East
Yuhua,Jurong East
Yuhua East,Jurong East
Yuhua West (Boon Lay),Jurong East
Boon Lay Place,Jurong West
Chin Bee,Jurong West
Hong Kah,Jurong West
Jurong West Central,Jurong West
Kian Teck,Jurong West
Safti,Jurong West
Taman Jurong,Jurong West
Wenya,Jurong West
Yuan Ching Road,Jurong West
Yunnan,Jurong West
Bendemeer,Kallang
Boon Keng,Kallang
Crawford,Kallang
Geylang Bahru,Kallang
Kallang Bahru,Kallang
Kampong Bugis,Kallang
Kampong Java,Kallang
Lavender,Kallang
Tanjong Rhu,Kallang
Mandai East,Mandai
Mandai Estate,Mandai
Mandai West,Mandai
East Coast,Marine Parade
Katong,Marine Parade
Marina East,Marine Parade
Marine Parade,Marine Parade
Mountbatten,Marine Parade
Bras Basah,Museum
Dhoby Ghaut,Museum
Fort Canning,Museum
Cairnhill,Newton
Goodwood Park,Newton
Istana Negara,Newton
Monk's Hill,Newton
Newton Circus,Newton
Orange Grove,Newton
Balestier,Novena
Dunearn,Novena
Malcolm,Novena
Moulmein,Novena
Mount Pleasant,Novena
Boulevard,Orchard
Somerset,Orchard
Tanglin,Orchard
China Square,Outram
Chinatown,Outram
Pearl's Hill,Outram
People's Park,Outram
Flora Drive,Pasir Ris
Loyang,Pasir Ris
Loyang East,Pasir Ris
Loyang West,Pasir Ris
Pasir Ris Central (Town),Pasir Ris
Pasir Ris Drive,Pasir Ris
Pasir Ris Park,Pasir Ris
Pasir Ris Wafer Fab Park (Pasir Ris West),Pasir Ris
Pasir Ris West (Elias),Pasir Ris
Airport Road,Paya Lebar
Paya Lebar East,Paya Lebar
Paya Lebar North,Paya Lebar
Paya Lebar West,Paya Lebar
Plab,Paya Lebar
Benoi Sector,Pioneer
Gul Basin,Pioneer
Gul Circle,Pioneer
Joo Koon,Pioneer
Pioneer Sector,Pioneer
Coney Island,Punggol
Matilda,Punggol
Northshore,Punggol
Punggol Canal (incl. Coney Island),Punggol
Punggol Field,Punggol
Punggol Town Centre,Punggol
Waterway East,Punggol
Commonwealth,Queenstown
Dover,Queenstown
Ghim Moh,Queenstown
Holland Village,Queenstown
Holland Drive,Queenstown
Kent Ridge,Queenstown
Margaret Drive,Queenstown
Mei Chin,Queenstown
National University of Singapore,Queenstown
one-north,Queenstown
One North,Queenstown
Pasir Panjang,Queenstown
Port,Queenstown
Queensway,Queenstown
Singapore Polytechnic,Queenstown
Tanglin Halt,Queenstown
Institution Hill,River Valley
Leonie Hill,River Valley
One Tree Hill,River Valley
Oxley,River Valley
Paterson,River Valley
Bencoolen,Rochor
Farrer Park,Rochor
Kampong Glam,Rochor
Little India,Rochor
Mackenzie,Rochor
Mount Emily,Rochor
Rochor Canal,Rochor
Selegie,Rochor
Sungei Road,Rochor
Victoria,Rochor
Pulau Punggol Barat,Seletar
Pulau Punggol Timor,Seletar
Seletar,Seletar
Seletar Aerospace Park,Seletar
Admiralty,Sembawang
Sembawang Central,Sembawang
Sembawang East,Sembawang
Sembawang North,Sembawang
Sembawang Springs,Sembawang
Sembawang Straits,Sembawang
Senoko North,Sembawang
Senoko South,Sembawang
The Wharves,Sembawang
Anchorvale (Buangkok),Seng Kang
Compassvale (Trafalgar),Seng Kang
Fernvale (Jalan Kayu East),Seng Kang
Lorong Halus North (Sungei Serangoon East),Seng Kang
Rivervale (Sungei Serangoon West),Seng Kang
Sengkang Town Centre,Seng Kang
Sengkang West (Jalan Kayu West),Seng Kang
Lorong Chuan,Serangoon
Seletar Hills,Serangoon
Serangoon Central,Serangoon
Serangoon Garden,Serangoon
Serangoon North,Serangoon
Serangoon North Ind Estate,Serangoon
Upper Paya Lebar,Serangoon
Pulau Seletar,Simpang
Simpang North,Simpang
Simpang South,Simpang
Tanjong Irau,Simpang
Boat Quay,Singapore River
Clarke Quay,Singapore River
Robertson Quay,Singapore River
Sentosa,Southern Islands
Southern Group,Southern Islands
Gali Batu (Mandai),Sungei Kadut
Kranji,Sungei Kadut
Pang Sua,Sungei Kadut
Reservoir View,Sungei Kadut
Turf Club,Sungei Kadut
Simei,Tampines
Tampines East,Tampines
Tampines North,Tampines
Tampines West,Tampines
Xilin,Tampines
Chatsworth,Tanglin
Nassim,Tanglin
Ridout,Tanglin
Tyersall,Tanglin
Brickland,Tengah
Forest Hill,Tengah
Garden,Tengah
Park,Tengah
Plantation,Tengah
Tengah Industrial Estate,Tengah
Bidadari,Toa Payoh
Boon Teck,Toa Payoh
Braddell,Toa Payoh
Joo Seng,Toa Payoh
Kim Keat,Toa Payoh
Lorong 8 Toa Payoh (Kallang),Toa Payoh
Pei Chun,Toa Payoh
Potong Pasir,Toa Payoh
Sennett,Toa Payoh
Toa Payoh Central,Toa Payoh
Toa Payoh West (Marymount),Toa Payoh
Woodleigh,Toa Payoh
Tengeh,Tuas
Tuas Bay,Tuas
Tuas North (Pioneer),Tuas
Tuas Promenade,Tuas
Tuas View,Tuas
Tuas View Extension (Coast),Tuas
Jurong Island and Bukom,Western Islands
Semakau,Western Islands
Sudong,Western Islands
Bahar,Western Water Catchment
Cleantech,Western Water Catchment
Murai,Western Water Catchment
Greenwood Park,Woodlands
Midview,Woodlands
North Coast,Woodlands
Senoko West,Woodlands
Woodgrove,Woodlands
Woodlands East,Woodlands
Woodlands Regional Centre,Woodlands
Woodlands South,Woodlands
Woodlands West,Woodlands
Khatib,Yishun
Lower Seletar,Yishun
Nee Soon,Yishun
Northland,Yishun
Springleaf,Yishun
Yishun Central,Yishun
Yishun East,Yishun
Yishun South,Yishun
Yishun West,Yishun